Date,Hour,NO2-ug-per-m3
2019-01-18,07,86
2019-01-18,08,91
2019-01-18,09,78
2019-01-18,10,70
2019-01-18,11,83
2019-01-18,12,61
2019-01-18,13,73
2019-01-18,14,74
2019-01-18,15,86
2019-01-18,4-1-16
2019-01-18,17,92
2019-01-18,4-1-18
2019-01-18,19,97
2019-01-18,20,87
2019-01-18,21,52
2019-01-18,22,36
2019-01-18,23,34
2019-01-18,24,28
2019-01-19,01,28
2019-01-19,02,24
2019-01-19,03,20
2019-01-19,04,24
2019-01-19,05,33
2019-01-19,06,34
2019-01-19,07,37
2019-01-19,08,47
2019-01-19,09,44
2019-01-19,10,53
2019-01-19,11,56
2019-01-19,12,62
2019-01-19,13,71
2019-01-19,14,71
2019-01-19,15,77
2019-01-19,16,91
2019-01-19,1-1-17
2019-01-19,2-1-18
2019-01-19,0-1-19
2019-01-19,20,81
2019-01-19,21,76
2019-01-19,22,60
2019-01-19,23,65
2019-01-19,24,53
2019-01-20,01,54
2019-01-20,02,41
2019-01-20,03,42
2019-01-20,04,51
2019-01-20,05,47
2019-01-20,06,35
2019-01-20,07,39
2019-01-20,08,41
2019-01-20,09,51
2019-01-20,10,59
2019-01-20,11,61
2019-01-20,12,55
2019-01-20,13,54
2019-01-20,14,81
2019-01-20,15,74
2019-01-20,16,94
2019-01-20,17,96
2019-01-20,18,79
2019-01-20,19,69
2019-01-20,20,60
2019-01-20,21,56
2019-01-20,22,39
2019-01-20,23,43
2019-01-20,24,39
2019-01-21,01,36
2019-01-21,02,37
2019-01-21,03,39
2019-01-21,04,38
2019-01-21,05,37
2019-01-21,06,41
2019-01-21,07,49
2019-01-21,08,44
2019-01-21,09,50
2019-01-21,10,45
2019-01-21,11,41
2019-01-21,12,34
2019-01-21,13,41
2019-01-21,14,44
2019-01-21,15,44
2019-01-21,16,56
2019-01-21,17,57
2019-01-21,18,54
2019-01-21,19,53
2019-01-21,20,45
2019-01-21,21,36
2019-01-21,22,29
2019-01-21,23,29
2019-01-21,24,31
2019-01-22,01,29
2019-01-22,02,29
2019-01-22,03,30
2019-01-22,04,35
2019-01-22,05,41
2019-01-22,06,47
2019-01-22,07,56
2019-01-22,08,64
2019-01-22,09,69
2019-01-22,10,61
2019-01-22,11,59
2019-01-22,12,60
2019-01-22,13,58
2019-01-22,14,57
2019-01-22,15,58
2019-01-22,16,60
2019-01-22,17,65
2019-01-22,18,58
2019-01-22,19,49
2019-01-22,20,39
2019-01-22,21,32
2019-01-22,22,27
2019-01-22,23,25
2019-01-22,24,24
2019-01-23,01,24
2019-01-23,02,24
2019-01-23,03,24
2019-01-23,04,28
2019-01-23,05,45
2019-01-23,06,64
2019-01-23,07,61
2019-01-23,08,52
2019-01-23,09,52
2019-01-23,10,68
2019-01-23,11,73
2019-01-23,12,64
2019-01-23,13,73
2019-01-23,14,84
2019-01-23,15,91
2019-01-23,8-1-16
2019-01-23,9-1-17
2019-01-23,1-1-18
2019-01-23,9-1-19
2019-01-23,4-1-20
2019-01-23,21,97
2019-01-23,22,88
2019-01-23,23,75
2019-01-23,24,61
2019-01-24,01,30
2019-01-24,02,19
2019-01-24,03,18
2019-01-24,04,18
2019-01-24,05,31
2019-01-24,06,38
2019-01-24,07,67
2019-01-24,08,62
2019-01-24,09,92
2019-01-24,10,70
2019-01-24,11,74
2019-01-24,12,62
2019-01-24,13,76
2019-01-24,14,84
2019-01-24,3-1-15
2019-01-24,1-1-16
2019-01-24,4-1-17
2019-01-24,2-1-18
2019-01-24,19,97
2019-01-24,20,92
2019-01-24,21,75
2019-01-24,22,49
2019-01-24,23,30
2019-01-24,24,29
2019-01-25,01,15
2019-01-25,02,21
2019-01-25,03,26
2019-01-25,04,22
2019-01-25,05,59
2019-01-25,06,84
2019-01-25,07,98
2019-01-25,08,71
2019-01-25,09,82
2019-01-25,10,84
2019-01-25,11,78
2019-01-25,12,58
2019-01-25,13,43
2019-01-25,14,46
2019-01-25,15,46
2019-01-25,16,54
2019-01-25,17,77
2019-01-25,18,60
2019-01-25,19,41
2019-01-25,20,34
2019-01-25,21,35
2019-01-25,22,33
2019-01-25,23,30
2019-01-25,24,30
2019-01-26,01,31
2019-01-26,02,37
2019-01-26,03,39
2019-01-26,04,42
2019-01-26,05,47
2019-01-26,06,56
2019-01-26,07,64
2019-01-26,08,77
2019-01-26,09,95
2019-01-26,10,97
2019-01-26,11,91
2019-01-26,12,65
2019-01-26,13,61
2019-01-26,14,54
2019-01-26,15,54
2019-01-26,16,60
2019-01-26,17,59
2019-01-26,18,62
2019-01-26,19,73
2019-01-26,20,63
2019-01-26,21,47
2019-01-26,22,43
2019-01-26,23,36
2019-01-26,24,20
2019-01-27,01,18
2019-01-27,02,17
2019-01-27,03,11
2019-01-27,04,11
2019-01-27,05,10
2019-01-27,06,10
2019-01-27,07,9
2019-01-27,08,10
2019-01-27,09,14
2019-01-27,10,20
2019-01-27,11,27
2019-01-27,12,28
2019-01-27,13,35
2019-01-27,14,38
2019-01-27,15,37
2019-01-27,16,42
2019-01-27,17,44
2019-01-27,18,50
2019-01-27,19,50
2019-01-27,20,35
2019-01-27,21,27
2019-01-27,22,19
2019-01-27,23,24
2019-01-27,24,17
2019-01-28,01,14
2019-01-28,02,22
2019-01-28,03,16
2019-01-28,04,13
2019-01-28,05,28
2019-01-28,06,67
2019-01-28,07,75
2019-01-28,08,57
2019-01-28,0-1-09
2019-01-28,3-1-10
2019-01-28,11,92
2019-01-28,12,83
2019-01-28,13,78
2019-01-28,14,96
2019-01-28,15,89
2019-01-28,6-1-16
2019-01-28,9-1-17
2019-01-28,18,80
2019-01-28,19,75
2019-01-28,20,65
2019-01-28,21,47
2019-01-28,22,45
2019-01-28,23,39
2019-01-28,24,26
2019-01-29,01,21
2019-01-29,02,23
2019-01-29,03,27
2019-01-29,04,39
2019-01-29,05,36
2019-01-29,06,65
2019-01-29,07,95
2019-01-29,1-1-08
2019-01-29,9-1-09
2019-01-29,10,90
2019-01-29,11,70
2019-01-29,12,63
2019-01-29,13,64
2019-01-29,14,60
2019-01-29,15,60
2019-01-29,16,65
2019-01-29,17,79
2019-01-29,18,74
2019-01-29,19,66
2019-01-29,20,49
2019-01-29,21,43
2019-01-29,22,40
2019-01-29,23,46
2019-01-29,24,42
2019-01-30,01,33
2019-01-30,02,34
2019-01-30,03,31
2019-01-30,04,32
2019-01-30,05,47
2019-01-30,06,70
2019-01-30,0-1-07
2019-01-30,6-1-08
2019-01-30,09,91
2019-01-30,10,87
2019-01-30,11,81
2019-01-30,12,69
2019-01-30,13,63
2019-01-30,14,67
2019-01-30,15,68
2019-01-30,16,84
2019-01-30,17,85
2019-01-30,18,73
2019-01-30,19,63
2019-01-30,20,39
2019-01-30,21,30
2019-01-30,22,24
2019-01-30,23,25
2019-01-30,24,18
2019-01-31,01,14
2019-01-31,02,15
2019-01-31,03,15
2019-01-31,04,17
2019-01-31,05,32
2019-01-31,06,59
2019-01-31,07,77
2019-01-31,08,48
2019-01-31,09,45
2019-01-31,10,64
2019-01-31,11,66
2019-01-31,12,54
2019-01-31,13,52
2019-01-31,14,61
2019-01-31,15,61
2019-01-31,16,76
2019-01-31,9-1-17
2019-01-31,0-1-18
2019-01-31,4-1-19
2019-01-31,20,97
2019-01-31,21,76
2019-01-31,22,75
2019-01-31,23,55
2019-01-31,24,41
2019-02-01,01,34
2019-02-01,02,33
2019-02-01,03,27
2019-02-01,04,34
2019-02-01,05,47
2019-02-01,06,72
2019-02-01,07,96
2019-02-01,3-1-08
2019-02-01,09,86
2019-02-01,10,70
2019-02-01,11,63
2019-02-01,12,63
2019-02-01,13,67
2019-02-01,14,73
2019-02-01,15,75
2019-02-01,16,89
2019-02-01,17,85
2019-02-01,18,78
2019-02-01,19,81
2019-02-01,20,65
2019-02-01,21,52
2019-02-01,22,44
2019-02-01,23,46
2019-02-01,24,46
2019-02-02,01,35
2019-02-02,02,35
2019-02-02,03,41
2019-02-02,04,44
2019-02-02,05,49
2019-02-02,06,54
2019-02-02,07,53
2019-02-02,08,49
2019-02-02,09,64
2019-02-02,10,81
2019-02-02,11,86
2019-02-02,12,85
2019-02-02,13,88
2019-02-02,14,84
2019-02-02,15,93
2019-02-02,16,86
2019-02-02,17,90
2019-02-02,18,93
2019-02-02,19,90
2019-02-02,20,72
2019-02-02,21,57
2019-02-02,22,49
2019-02-02,23,40
2019-02-02,24,37
2019-02-03,01,28
2019-02-03,02,27
2019-02-03,03,20
2019-02-03,04,18
2019-02-03,05,19
2019-02-03,06,23
2019-02-03,07,18
2019-02-03,08,18
2019-02-03,09,41
2019-02-03,10,64
2019-02-03,11,60
2019-02-03,12,59
2019-02-03,13,68
2019-02-03,14,68
2019-02-03,15,71
2019-02-03,16,65
2019-02-03,17,74
2019-02-03,0-1-18
2019-02-03,19,87
2019-02-03,20,66
2019-02-03,21,61
2019-02-03,22,73
2019-02-03,23,60
2019-02-03,24,42
2019-02-04,01,31
2019-02-04,02,34
2019-02-04,03,32
2019-02-04,04,29
2019-02-04,05,43
2019-02-04,06,54
2019-02-04,07,49
2019-02-04,08,44
2019-02-04,09,43
2019-02-04,10,37
2019-02-04,11,31
2019-02-04,12,29
2019-02-04,13,30
2019-02-04,14,33
2019-02-04,15,33
2019-02-04,16,37
2019-02-04,17,36
2019-02-04,18,30
2019-02-04,19,23
2019-02-04,20,20
2019-02-04,21,18
2019-02-04,22,16
2019-02-04,23,15
2019-02-04,24,14
2019-02-05,01,13
2019-02-05,02,10
2019-02-05,03,9
2019-02-05,04,11
2019-02-05,05,15
2019-02-05,06,27
2019-02-05,07,36
2019-02-05,08,43
2019-02-05,09,40
2019-02-05,10,32
2019-02-05,11,37
2019-02-05,12,38
2019-02-05,13,39
2019-02-05,14,38
2019-02-05,15,40
2019-02-05,16,44
2019-02-05,17,46
2019-02-05,18,51
2019-02-05,19,42
2019-02-05,20,26
2019-02-05,21,24
2019-02-05,22,19
2019-02-05,23,19
