,Date,Hour,e5,e10,diesel
211,2019-01-09,19,1.279,1.255666667,1.150666667
212,2019-01-09,20,1.28,1.2535,1.1445
213,2019-01-09,21,1.333791667,1.310458333,1.20775
214,2019-01-09,22,1.389,1.334714286,1.239
215,2019-01-09,23,1.397333333,1.348761905,1.249
216,2019-01-10,0,1.405666667,1.362809524,1.259
217,2019-01-10,1,1.414,1.376857143,1.269
218,2019-01-10,2,1.422333333,1.390904762,1.279
219,2019-01-10,3,1.430666667,1.404952381,1.289
220,2019-01-10,4,1.439,1.419,1.299
221,2019-01-10,5,1.393270833,1.368791667,1.259625
222,2019-01-10,6,1.370468531,1.344454545,1.243335664
223,2019-01-10,7,1.351027027,1.328054054,1.213864865
224,2019-01-10,8,1.329769231,1.305410256,1.194
225,2019-01-10,9,1.310980198,1.285534653,1.185336634
226,2019-01-10,10,1.299215054,1.272978495,1.169
227,2019-01-10,11,1.337691589,1.312457944,1.200775701
228,2019-01-10,12,1.313320988,1.289123457,1.176654321
229,2019-01-10,13,1.300011236,1.27394382,1.174168539
230,2019-01-10,14,1.288076923,1.261,1.150846154
231,2019-01-10,15,1.279212766,1.252191489,1.148148936
232,2019-01-10,16,1.316483444,1.292642384,1.181781457
233,2019-01-10,17,1.293180328,1.265721311,1.172606557
234,2019-01-10,18,1.279392157,1.253901961,1.149196078
235,2019-01-10,19,1.269517241,1.244172414,1.145551724
236,2019-01-10,20,1.272333333,1.242333333,1.142333333
237,2019-01-10,21,1.332777778,1.305888889,1.204333333
238,2019-01-10,22,1.359,1.339,1.22025
239,2019-01-10,23,1.372333333,1.352333333,1.233375
240,2019-01-11,0,1.385666667,1.365666667,1.2465
241,2019-01-11,1,1.399,1.379,1.259625
242,2019-01-11,2,1.412333333,1.392333333,1.27275
243,2019-01-11,3,1.425666667,1.405666667,1.285875
244,2019-01-11,4,1.439,1.419,1.299
245,2019-01-11,5,1.398354839,1.374053763,1.26383871
246,2019-01-11,6,1.359879121,1.331527473,1.245923077
247,2019-01-11,7,1.356142857,1.329,1.234
248,2019-01-11,8,1.344116279,1.316674419,1.215744186
249,2019-01-11,9,1.333732143,1.307839286,1.213642857
250,2019-01-11,10,1.321774869,1.295910995,1.206382199
251,2019-01-11,11,1.342419689,1.317341969,1.235476684
252,2019-01-11,12,1.326160494,1.303444444,1.214061728
253,2019-01-11,13,1.314157233,1.286421384,1.207490566
254,2019-01-11,14,1.2944,1.2686,1.1878
255,2019-01-11,15,1.287390805,1.262103448,1.181183908
256,2019-01-11,16,1.322269231,1.299128205,1.212974359
257,2019-01-11,17,1.293223602,1.268254658,1.178627329
258,2019-01-11,18,1.282673469,1.256959184,1.162673469
259,2019-01-11,19,1.276241379,1.252103448,1.149344828
260,2019-01-11,20,1.2815,1.254,1.154
261,2019-01-11,21,1.338777778,1.311888889,1.213666667
262,2019-01-11,22,1.409,1.349,1.269
263,2019-01-11,23,1.414,1.360666667,1.274
264,2019-01-12,0,1.419,1.372333333,1.279
265,2019-01-12,1,1.424,1.384,1.284
266,2019-01-12,2,1.429,1.395666667,1.289
267,2019-01-12,3,1.434,1.407333333,1.294
268,2019-01-12,4,1.439,1.419,1.299
269,2019-01-12,5,1.402529412,1.377470588,1.278529412
270,2019-01-12,6,1.371457627,1.347220339,1.253830508
271,2019-01-12,7,1.337118812,1.311772277,1.221970297
272,2019-01-12,8,1.3296,1.3032,1.2072
273,2019-01-12,9,1.329,1.303791667,1.194416667
274,2019-01-12,10,1.320290323,1.294483871,1.190182796
275,2019-01-12,11,1.358915966,1.332697479,1.232781513
276,2019-01-12,12,1.331435897,1.307076923,1.205794872
277,2019-01-12,13,1.331121212,1.301727273,1.20889899
278,2019-01-12,14,1.310369863,1.28530137,1.189821918
279,2019-01-12,15,1.302571429,1.277452381,1.183047619
280,2019-01-12,16,1.338944444,1.314166667,1.215666667
281,2019-01-12,17,1.295542056,1.270121495,1.189841121
282,2019-01-12,18,1.286333333,1.263222222,1.167666667
283,2019-01-12,19,1.2798,1.255,1.1646
284,2019-01-12,20,1.284,1.259,1.164
285,2019-01-12,21,1.339,1.313107143,1.214714286
286,2019-01-12,22,1.389,1.334714286,1.213285714
287,2019-01-12,23,1.397333333,1.348761905,1.227571429
288,2019-01-13,0,1.405666667,1.362809524,1.241857143
289,2019-01-13,1,1.414,1.376857143,1.256142857
290,2019-01-13,2,1.422333333,1.390904762,1.270428571
291,2019-01-13,3,1.430666667,1.404952381,1.284714286
292,2019-01-13,4,1.439,1.419,1.299
293,2019-01-13,5,1.404795455,1.379909091,1.285022727
294,2019-01-13,6,1.366745098,1.340666667,1.257823529
295,2019-01-13,7,1.334862069,1.310034483,1.225551724
296,2019-01-13,8,1.333038462,1.308038462,1.216307692
297,2019-01-13,9,1.323827586,1.293482759,1.196241379
298,2019-01-13,10,1.337876404,1.312932584,1.205404494
299,2019-01-13,11,1.362071895,1.335666667,1.221941176
300,2019-01-13,12,1.345767677,1.321121212,1.204858586
301,2019-01-13,13,1.3365,1.309357143,1.199714286
302,2019-01-13,14,1.3214,1.2918,1.1802
303,2019-01-13,15,1.330176471,1.30645098,1.200372549
304,2019-01-13,16,1.349063694,1.325687898,1.209254777
305,2019-01-13,17,1.312556701,1.28657732,1.196525773
306,2019-01-13,18,1.28975,1.26075,1.17375
307,2019-01-13,19,1.281666667,1.259666667,1.159666667
308,2019-01-13,20,1.355,1.335,1.235
309,2019-01-13,21,1.344185185,1.314925926,1.224185185
310,2019-01-13,22,1.409,1.351857143,1.269
311,2019-01-13,23,1.392594595,1.34196139,1.256405405
312,2019-01-14,0,1.376189189,1.332065637,1.243810811
313,2019-01-14,1,1.359783784,1.322169884,1.231216216
314,2019-01-14,2,1.343378378,1.312274131,1.218621622
315,2019-01-14,3,1.326972973,1.302378378,1.206027027
316,2019-01-14,4,1.439,1.419,1.299
317,2019-01-14,5,1.407470588,1.382411765,1.283470588
318,2019-01-14,6,1.383554455,1.354841584,1.268108911
319,2019-01-14,7,1.370923077,1.341692308,1.260730769
320,2019-01-14,8,1.350509434,1.324471698,1.248811321
321,2019-01-14,9,1.349409836,1.323672131,1.245393443
322,2019-01-14,10,1.341340426,1.316446809,1.230702128
323,2019-01-14,11,1.37628,1.34724,1.26484
324,2019-01-14,12,1.354785124,1.330487603,1.242801653
325,2019-01-14,13,1.335037736,1.309377358,1.224283019
326,2019-01-14,14,1.306943925,1.281990654,1.203953271
327,2019-01-14,15,1.304454545,1.280608392,1.201797203
328,2019-01-14,16,1.323915254,1.29939548,1.219564972
329,2019-01-14,17,1.30275,1.275176471,1.205911765
330,2019-01-14,18,1.28854023,1.264172414,1.179114943
331,2019-01-14,19,1.278459459,1.255081081,1.170081081
332,2019-01-14,20,1.274192308,1.247269231,1.167653846
333,2019-01-14,21,1.318830508,1.29679661,1.210525424
334,2019-01-14,22,1.409,1.389,1.269
335,2019-01-14,23,1.39275,1.37275,1.2565
336,2019-01-15,0,1.3765,1.3565,1.244
337,2019-01-15,1,1.36025,1.34025,1.2315
338,2019-01-15,2,1.344,1.324,1.219
339,2019-01-15,3,1.32775,1.30775,1.2065
340,2019-01-15,4,1.3115,1.2915,1.194
341,2019-01-15,5,1.402409091,1.377863636,1.281272727
342,2019-01-15,6,1.347613861,1.322960396,1.245732673
343,2019-01-15,7,1.30652,1.28236,1.20548
344,2019-01-15,8,1.305891892,1.279405405,1.192243243
345,2019-01-15,9,1.292376623,1.265623377,1.171727273
346,2019-01-15,10,1.285823529,1.258529412,1.164529412
347,2019-01-15,11,1.328550562,1.30394382,1.204280899
348,2019-01-15,12,1.309185185,1.288444444,1.187333333
349,2019-01-15,13,1.291783505,1.266525773,1.183226804
350,2019-01-15,14,1.281608696,1.255847826,1.168456522
351,2019-01-15,15,1.27,1.240666667,1.16
352,2019-01-15,16,1.307058824,1.286470588,1.193294118
353,2019-01-15,17,1.288875,1.263125,1.177375
354,2019-01-15,18,1.278180328,1.251131148,1.168344262
355,2019-01-15,19,1.269,1.242333333,1.152333333
356,2019-01-15,20,1.273,1.242,1.156
357,2019-01-15,21,1.330428571,1.30447619,1.21352381
358,2019-01-15,22,1.409,1.349,1.279
359,2019-01-15,23,1.410666667,1.357333333,1.282333333
360,2019-01-16,0,1.412333333,1.365666667,1.285666667
361,2019-01-16,1,1.414,1.374,1.289
362,2019-01-16,2,1.415666667,1.382333333,1.292333333
363,2019-01-16,3,1.417333333,1.390666667,1.295666667
364,2019-01-16,4,1.419,1.399,1.299
365,2019-01-16,5,1.397627451,1.368117647,1.274392157
366,2019-01-16,6,1.342865031,1.317650307,1.24697546
367,2019-01-16,7,1.2986875,1.273895833,1.195770833
368,2019-01-16,8,1.293545455,1.266878788,1.177787879
369,2019-01-16,9,1.281222222,1.256037037,1.164555556
370,2019-01-16,10,1.276173913,1.247478261,1.165086957
371,2019-01-16,11,1.315960784,1.289098039,1.207137255
372,2019-01-16,12,1.303864865,1.280486486,1.191432432
373,2019-01-16,13,1.292125,1.268375,1.18228125
374,2019-01-16,14,1.267554217,1.243096386,1.180807229
375,2019-01-16,15,1.25527907,1.229697674,1.164348837
376,2019-01-16,16,1.285502732,1.263480874,1.207251366
377,2019-01-16,17,1.27047541,1.24457377,1.179409836
378,2019-01-16,18,1.262043478,1.23726087,1.163347826
379,2019-01-16,19,1.24775,1.224,1.154625
380,2019-01-16,20,1.257181818,1.231727273,1.159
381,2019-01-16,21,1.30654717,1.279,1.210698113
382,2019-01-16,22,1.409,1.389,1.279
383,2019-01-16,23,1.407333333,1.387333333,1.282333333
384,2019-01-17,0,1.405666667,1.385666667,1.285666667
385,2019-01-17,1,1.404,1.384,1.289
386,2019-01-17,2,1.402333333,1.382333333,1.292333333
387,2019-01-17,3,1.400666667,1.380666667,1.295666667
388,2019-01-17,4,1.399,1.379,1.299
389,2019-01-17,5,1.396849462,1.368677419,1.277817204
390,2019-01-17,6,1.33085567,1.305701031,1.241371134
391,2019-01-17,7,1.28928777,1.265546763,1.201517986
392,2019-01-17,8,1.285126126,1.259,1.182423423
393,2019-01-17,9,1.277241758,1.251747253,1.165043956
394,2019-01-17,10,1.296735849,1.272018868,1.182773585
395,2019-01-17,11,1.308716981,1.282867925,1.195037736
396,2019-01-17,12,1.294263158,1.273473684,1.183473684
397,2019-01-17,13,1.290888889,1.262888889,1.187555556
398,2019-01-17,14,1.280052632,1.249877193,1.173736842
399,2019-01-17,15,1.296446809,1.272829787,1.189851064
400,2019-01-17,16,1.304209581,1.281754491,1.195467066
401,2019-01-17,17,1.289,1.262466667,1.185533333
402,2019-01-17,18,1.279684932,1.252972603,1.174616438
403,2019-01-17,19,1.269,1.245451613,1.161903226
404,2019-01-17,20,1.302,1.279,1.194
405,2019-01-17,21,1.324142857,1.294714286,1.215857143
406,2019-01-17,22,1.409,1.389,1.279
407,2019-01-17,23,1.412157895,1.392157895,1.284
408,2019-01-18,0,1.415315789,1.395315789,1.289
409,2019-01-18,1,1.418473684,1.398473684,1.294
410,2019-01-18,2,1.421631579,1.401631579,1.299
411,2019-01-18,3,1.424789474,1.404789474,1.304
412,2019-01-18,4,1.427947368,1.407947368,1.309
413,2019-01-18,5,1.38478125,1.3580625,1.27415625
414,2019-01-18,6,1.345760563,1.317873239,1.241957746
415,2019-01-18,7,1.334555556,1.304432099,1.219864198
416,2019-01-18,8,1.319285714,1.289,1.208142857
417,2019-01-18,9,1.313375,1.287541667,1.20525
418,2019-01-18,10,1.304873016,1.276301587,1.204396825
419,2019-01-18,11,1.340984127,1.315111111,1.234873016
420,2019-01-18,12,1.32573913,1.30226087,1.216391304
421,2019-01-18,13,1.320634615,1.294865385,1.225057692
422,2019-01-18,14,1.298473684,1.273561404,1.196368421
423,2019-01-18,15,1.296936508,1.271539683,1.18931746
424,2019-01-18,16,1.32860452,1.304649718,1.220525424
425,2019-01-18,17,1.304333333,1.277952381,1.198714286
426,2019-01-18,18,1.28912987,1.263545455,1.17912987
427,2019-01-18,19,1.281307692,1.255666667,1.173102564
428,2019-01-18,20,1.27383871,1.250290323,1.169
429,2019-01-18,21,1.336954545,1.307636364,1.229454545
430,2019-01-18,22,1.409,1.349,1.279
431,2019-01-18,23,1.407333333,1.354,1.282333333
432,2019-01-19,0,1.405666667,1.359,1.285666667
433,2019-01-19,1,1.404,1.364,1.289
434,2019-01-19,2,1.402333333,1.369,1.292333333
435,2019-01-19,3,1.400666667,1.374,1.295666667
436,2019-01-19,4,1.399,1.379,1.299
437,2019-01-19,5,1.395705882,1.371,1.282411765
