Row,Number of vessels,Date,Hour
375,6,2019-01-16,15
376,7,2019-01-16,16
377,5,2019-01-16,17
378,5,2019-01-16,18
379,3,2019-01-16,19
380,4,2019-01-16,20
381,3,2019-01-16,21
382,5,2019-01-16,22
383,7,2019-01-16,23
384,9,2019-01-17,0
385,7,2019-01-17,1
386,10,2019-01-17,2
387,9,2019-01-17,3
388,7,2019-01-17,4
389,8,2019-01-17,5
390,6,2019-01-17,6
391,8,2019-01-17,7
392,6,2019-01-17,8
393,7,2019-01-17,9
394,7,2019-01-17,10
395,9,2019-01-17,11
396,7,2019-01-17,12
397,6,2019-01-17,13
398,8,2019-01-17,14
399,8,2019-01-17,15
400,8,2019-01-17,16
401,7,2019-01-17,17
402,4,2019-01-17,18
403,5,2019-01-17,19
404,2,2019-01-17,20
405,4,2019-01-17,21
406,7,2019-01-17,22
407,7,2019-01-17,23
408,3,2019-01-18,0
409,4,2019-01-18,1
410,3,2019-01-18,2
411,8,2019-01-18,3
412,9,2019-01-18,4
413,9,2019-01-18,5
414,11,2019-01-18,6
415,9,2019-01-18,7
416,10,2019-01-18,8
417,8,2019-01-18,9
418,10,2019-01-18,10
419,6,2019-01-18,11
420,4,2019-01-18,12
421,3,2019-01-18,13
422,3,2019-01-18,14
423,5,2019-01-18,15
424,5,2019-01-18,16
425,2,2019-01-18,17
426,2,2019-01-18,18
427,1,2019-01-18,19
428,1,2019-01-18,20
429,1,2019-01-18,21
430,0,2019-01-18,22
431,0,2019-01-18,23
432,6,2019-01-19,0
433,7,2019-01-19,1
434,8,2019-01-19,2
435,6,2019-01-19,3
436,9,2019-01-19,4
437,7,2019-01-19,5
438,11,2019-01-19,6
439,8,2019-01-19,7
440,9,2019-01-19,8
441,8,2019-01-19,9
442,9,2019-01-19,10
443,6,2019-01-19,11
444,10,2019-01-19,12
445,9,2019-01-19,13
446,10,2019-01-19,14
447,14,2019-01-19,15
448,8,2019-01-19,16
449,8,2019-01-19,17
450,7,2019-01-19,18
451,9,2019-01-19,19
452,7,2019-01-19,20
453,7,2019-01-19,21
454,6,2019-01-19,22
455,8,2019-01-19,23
456,7,2019-01-20,0
457,10,2019-01-20,1
458,7,2019-01-20,2
459,9,2019-01-20,3
460,12,2019-01-20,4
461,11,2019-01-20,5
462,10,2019-01-20,6
463,10,2019-01-20,7
464,11,2019-01-20,8
465,4,2019-01-20,9
466,5,2019-01-20,10
467,3,2019-01-20,11
468,2,2019-01-20,12
469,3,2019-01-20,13
470,5,2019-01-20,14
471,3,2019-01-20,15
472,5,2019-01-20,16
473,7,2019-01-20,17
474,5,2019-01-20,18
475,7,2019-01-20,19
476,8,2019-01-20,20
477,14,2019-01-20,21
478,12,2019-01-20,22
479,11,2019-01-20,23
480,10,2019-01-21,0
481,7,2019-01-21,1
482,10,2019-01-21,2
483,8,2019-01-21,3
484,8,2019-01-21,4
485,9,2019-01-21,5
486,8,2019-01-21,6
487,8,2019-01-21,7
488,6,2019-01-21,8
489,6,2019-01-21,9
490,9,2019-01-21,10
491,11,2019-01-21,11
492,10,2019-01-21,12
493,9,2019-01-21,13
494,8,2019-01-21,14
495,8,2019-01-21,15
