Row,Number of vessels,Date,Hour
4405,9,2019-07-03,13
4406,5,2019-07-03,14
4407,3,2019-07-03,15
4408,5,2019-07-03,16
4409,4,2019-07-03,17
4410,2,2019-07-03,18
4411,4,2019-07-03,19
4412,5,2019-07-03,20
4413,4,2019-07-03,21
4414,5,2019-07-03,22
4415,5,2019-07-03,23
4416,5,2019-07-04,0
4417,5,2019-07-04,1
4418,6,2019-07-04,2
4419,8,2019-07-04,3
4420,8,2019-07-04,4
4421,6,2019-07-04,5
4422,8,2019-07-04,6
4423,7,2019-07-04,7
4424,6,2019-07-04,8
4425,2,2019-07-04,9
4426,5,2019-07-04,10
4427,3,2019-07-04,11
4428,5,2019-07-04,12
4429,6,2019-07-04,13
4430,7,2019-07-04,14
4431,4,2019-07-04,15
4432,7,2019-07-04,16
4433,4,2019-07-04,17
4434,3,2019-07-04,18
4435,6,2019-07-04,19
4436,7,2019-07-04,20
4437,10,2019-07-04,21
4438,8,2019-07-04,22
4439,8,2019-07-04,23
4440,7,2019-07-05,0
4441,6,2019-07-05,1
4442,5,2019-07-05,2
4443,6,2019-07-05,3
4444,6,2019-07-05,4
4445,6,2019-07-05,5
4446,3,2019-07-05,6
4447,4,2019-07-05,7
4448,6,2019-07-05,8
4449,4,2019-07-05,9
4450,4,2019-07-05,10
4451,3,2019-07-05,11
4452,3,2019-07-05,12
4453,5,2019-07-05,13
4454,3,2019-07-05,14
4455,5,2019-07-05,15
4456,7,2019-07-05,16
4457,6,2019-07-05,17
4458,7,2019-07-05,18
4459,8,2019-07-05,19
4460,7,2019-07-05,20
4461,8,2019-07-05,21
4462,6,2019-07-05,22
4463,3,2019-07-05,23
4464,3,2019-07-06,0
4465,3,2019-07-06,1
4466,4,2019-07-06,2
4467,5,2019-07-06,3
4468,9,2019-07-06,4
4469,5,2019-07-06,5
4470,9,2019-07-06,6
4471,8,2019-07-06,7
4472,12,2019-07-06,8
4473,7,2019-07-06,9
4474,7,2019-07-06,10
4475,4,2019-07-06,11
4476,8,2019-07-06,12
4477,12,2019-07-06,13
4478,5,2019-07-06,14
4479,4,2019-07-06,15
4480,5,2019-07-06,16
4481,4,2019-07-06,17
4482,2,2019-07-06,18
4483,4,2019-07-06,19
4484,5,2019-07-06,20
4485,5,2019-07-06,21
4486,6,2019-07-06,22
4487,7,2019-07-06,23
4488,4,2019-07-07,0
4489,6,2019-07-07,1
4490,6,2019-07-07,2
4491,6,2019-07-07,3
4492,4,2019-07-07,4
4493,3,2019-07-07,5
4494,3,2019-07-07,6
4495,4,2019-07-07,7
4496,4,2019-07-07,8
4497,7,2019-07-07,9
4498,5,2019-07-07,10
4499,4,2019-07-07,11
4500,1,2019-07-07,12
4501,3,2019-07-07,13
4502,1,2019-07-07,14
4503,2,2019-07-07,15
4504,2,2019-07-07,16
4505,1,2019-07-07,17
4506,0,2019-07-07,18
4507,1,2019-07-07,19
4508,1,2019-07-07,20
4509,1,2019-07-07,21
4510,1,2019-07-07,22
4511,0,2019-07-07,23
4512,8,2019-07-08,0
4513,2,2019-07-08,1
4514,4,2019-07-08,2
4515,2,2019-07-08,3
4516,7,2019-07-08,4
4517,5,2019-07-08,5
4518,8,2019-07-08,6
4519,9,2019-07-08,7
4520,9,2019-07-08,8
4521,4,2019-07-08,9
4522,3,2019-07-08,10
4523,3,2019-07-08,11
4524,5,2019-07-08,12
4525,5,2019-07-08,13
4526,4,2019-07-08,14
4527,0,2019-07-08,15
4528,2,2019-07-08,16
4529,3,2019-07-08,17
4530,2,2019-07-08,18
4531,4,2019-07-08,19
4532,6,2019-07-08,20
4533,13,2019-07-08,21
4534,12,2019-07-08,22
4535,7,2019-07-08,23
4536,3,2019-07-09,0
4537,3,2019-07-09,1
4538,3,2019-07-09,2
4539,5,2019-07-09,3
4540,4,2019-07-09,4
4541,5,2019-07-09,5
4542,3,2019-07-09,6
4543,5,2019-07-09,7
4544,2,2019-07-09,8
4545,3,2019-07-09,9
4546,7,2019-07-09,10
4547,9,2019-07-09,11
4548,7,2019-07-09,12
4549,4,2019-07-09,13
4550,3,2019-07-09,14
4551,5,2019-07-09,15
4552,5,2019-07-09,16
4553,3,2019-07-09,17
4554,4,2019-07-09,18
4555,3,2019-07-09,19
4556,4,2019-07-09,20
4557,4,2019-07-09,21
4558,3,2019-07-09,22
4559,7,2019-07-09,23
4560,4,2019-07-10,0
4561,2,2019-07-10,1
4562,1,2019-07-10,2
4563,3,2019-07-10,3
4564,7,2019-07-10,4
4565,6,2019-07-10,5
4566,5,2019-07-10,6
4567,3,2019-07-10,7
4568,8,2019-07-10,8
4569,7,2019-07-10,9
4570,7,2019-07-10,10
4571,6,2019-07-10,11
4572,6,2019-07-10,12
4573,7,2019-07-10,13
4574,12,2019-07-10,14
4575,9,2019-07-10,15
4576,6,2019-07-10,16
4577,8,2019-07-10,17
4578,5,2019-07-10,18
4579,7,2019-07-10,19
4580,6,2019-07-10,20
4581,5,2019-07-10,21
4582,4,2019-07-10,22
4583,5,2019-07-10,23
4584,4,2019-07-11,0
4585,5,2019-07-11,1
4586,4,2019-07-11,2
4587,2,2019-07-11,3
4588,5,2019-07-11,4
4589,7,2019-07-11,5
4590,7,2019-07-11,6
4591,6,2019-07-11,7
4592,8,2019-07-11,8
4593,6,2019-07-11,9
4594,6,2019-07-11,10
4595,6,2019-07-11,11
4596,5,2019-07-11,12
4597,4,2019-07-11,13
4598,4,2019-07-11,14
4599,6,2019-07-11,15
4600,10,2019-07-11,16
4601,8,2019-07-11,17
4602,3,2019-07-11,18
4603,1,2019-07-11,19
4604,3,2019-07-11,20
4605,4,2019-07-11,21
4606,8,2019-07-11,22
4607,7,2019-07-11,23
4608,8,2019-07-12,0
4609,3,2019-07-12,1
4610,4,2019-07-12,2
4611,8,2019-07-12,3
4612,9,2019-07-12,4
4613,10,2019-07-12,5
4614,9,2019-07-12,6
4615,6,2019-07-12,7
4616,7,2019-07-12,8
4617,8,2019-07-12,9
4618,10,2019-07-12,10
4619,11,2019-07-12,11
4620,7,2019-07-12,12
4621,6,2019-07-12,13
4622,4,2019-07-12,14
4623,5,2019-07-12,15
4624,4,2019-07-12,16
4625,4,2019-07-12,17
4626,8,2019-07-12,18
4627,8,2019-07-12,19
4628,5,2019-07-12,20
4629,6,2019-07-12,21
4630,4,2019-07-12,22
4631,2,2019-07-12,23
4632,3,2019-07-13,0
4633,3,2019-07-13,1
4634,3,2019-07-13,2
4635,5,2019-07-13,3
4636,6,2019-07-13,4
4637,8,2019-07-13,5
4638,6,2019-07-13,6
4639,5,2019-07-13,7
4640,6,2019-07-13,8
4641,6,2019-07-13,9
4642,8,2019-07-13,10
4643,7,2019-07-13,11
4644,6,2019-07-13,12
4645,4,2019-07-13,13
4646,4,2019-07-13,14
4647,4,2019-07-13,15
4648,6,2019-07-13,16
4649,6,2019-07-13,17
4650,3,2019-07-13,18
4651,4,2019-07-13,19
4652,8,2019-07-13,20
4653,10,2019-07-13,21
4654,10,2019-07-13,22
4655,5,2019-07-13,23
4656,3,2019-07-14,0
4657,7,2019-07-14,1
4658,8,2019-07-14,2
4659,9,2019-07-14,3
4660,9,2019-07-14,4
4661,7,2019-07-14,5
4662,5,2019-07-14,6
4663,6,2019-07-14,7
4664,6,2019-07-14,8
4665,6,2019-07-14,9
4666,4,2019-07-14,10
4667,6,2019-07-14,11
4668,7,2019-07-14,12
4669,8,2019-07-14,13
4670,9,2019-07-14,14
4671,8,2019-07-14,15
4672,9,2019-07-14,16
4673,9,2019-07-14,17
4674,5,2019-07-14,18
4675,5,2019-07-14,19
4676,6,2019-07-14,20
4677,4,2019-07-14,21
4678,7,2019-07-14,22
4679,4,2019-07-14,23
4680,3,2019-07-15,0
4681,9,2019-07-15,1
4682,6,2019-07-15,2
4683,8,2019-07-15,3
4684,6,2019-07-15,4
4685,5,2019-07-15,5
4686,4,2019-07-15,6
4687,8,2019-07-15,7
4688,5,2019-07-15,8
4689,3,2019-07-15,9
4690,5,2019-07-15,10
4691,5,2019-07-15,11
4692,6,2019-07-15,12
4693,4,2019-07-15,13
4694,4,2019-07-15,14
4695,3,2019-07-15,15
4696,2,2019-07-15,16
4697,5,2019-07-15,17
4698,9,2019-07-15,18
4699,7,2019-07-15,19
4700,13,2019-07-15,20
4701,9,2019-07-15,21
4702,8,2019-07-15,22
4703,8,2019-07-15,23
4704,3,2019-07-16,0
4705,3,2019-07-16,1
4706,4,2019-07-16,2
4707,3,2019-07-16,3
4708,4,2019-07-16,4
4709,2,2019-07-16,5
4710,5,2019-07-16,6
4711,5,2019-07-16,7
4712,4,2019-07-16,8
4713,1,2019-07-16,9
4714,3,2019-07-16,10
4715,3,2019-07-16,11
4716,5,2019-07-16,12
4717,7,2019-07-16,13
4718,10,2019-07-16,14
4719,8,2019-07-16,15
4720,3,2019-07-16,16
4721,5,2019-07-16,17
4722,4,2019-07-16,18
4723,5,2019-07-16,19
4724,4,2019-07-16,20
4725,4,2019-07-16,21
4726,4,2019-07-16,22
4727,1,2019-07-16,23
4728,0,2019-07-17,0
4729,1,2019-07-17,1
4730,0,2019-07-17,2
4731,2,2019-07-17,3
4732,2,2019-07-17,4
4733,2,2019-07-17,5
4734,5,2019-07-17,6
4735,5,2019-07-17,7
4736,6,2019-07-17,8
4737,2,2019-07-17,9
4738,2,2019-07-17,10
4739,1,2019-07-17,11
4740,1,2019-07-17,12
4741,0,2019-07-17,13
4742,0,2019-07-17,14
4743,1,2019-07-17,15
4744,0,2019-07-17,16
4745,1,2019-07-17,17
4746,1,2019-07-17,18
4747,0,2019-07-17,19
4748,0,2019-07-17,20
4749,0,2019-07-17,21
4750,0,2019-07-17,22
4751,0,2019-07-17,23
4752,0,2019-07-18,0
4753,3,2019-07-18,1
4754,5,2019-07-18,2
4755,4,2019-07-18,3
4756,3,2019-07-18,4
4757,4,2019-07-18,5
4758,7,2019-07-18,6
4759,7,2019-07-18,7
4760,8,2019-07-18,8
4761,4,2019-07-18,9
4762,4,2019-07-18,10
4763,3,2019-07-18,11
4764,2,2019-07-18,12
4765,7,2019-07-18,13
4766,5,2019-07-18,14
4767,7,2019-07-18,15
4768,10,2019-07-18,16
4769,12,2019-07-18,17
4770,9,2019-07-18,18
4771,6,2019-07-18,19
4772,5,2019-07-18,20
4773,1,2019-07-18,21
4774,1,2019-07-18,22
4775,4,2019-07-18,23
4776,5,2019-07-19,0
4777,5,2019-07-19,1
4778,5,2019-07-19,2
4779,5,2019-07-19,3
4780,7,2019-07-19,4
4781,5,2019-07-19,5
4782,4,2019-07-19,6
4783,4,2019-07-19,7
4784,4,2019-07-19,8
4785,1,2019-07-19,9
4786,5,2019-07-19,10
4787,7,2019-07-19,11
4788,8,2019-07-19,12
4789,3,2019-07-19,13
4790,6,2019-07-19,14
4791,7,2019-07-19,15
4792,9,2019-07-19,16
4793,5,2019-07-19,17
4794,1,2019-07-19,18
4795,1,2019-07-19,19
4796,0,2019-07-19,20
4797,4,2019-07-19,21
4798,8,2019-07-19,22
4799,6,2019-07-19,23
4800,3,2019-07-20,0
4801,1,2019-07-20,1
4802,3,2019-07-20,2
4803,4,2019-07-20,3
4804,1,2019-07-20,4
4805,4,2019-07-20,5
4806,7,2019-07-20,6
4807,9,2019-07-20,7
4808,6,2019-07-20,8
4809,6,2019-07-20,9
4810,11,2019-07-20,10
4811,7,2019-07-20,11
4812,8,2019-07-20,12
4813,12,2019-07-20,13
4814,10,2019-07-20,14
4815,8,2019-07-20,15
4816,6,2019-07-20,16
4817,7,2019-07-20,17
4818,7,2019-07-20,18
4819,9,2019-07-20,19
4820,6,2019-07-20,20
4821,7,2019-07-20,21
4822,8,2019-07-20,22
4823,6,2019-07-20,23
4824,9,2019-07-21,0
4825,9,2019-07-21,1
4826,9,2019-07-21,2
4827,12,2019-07-21,3
4828,15,2019-07-21,4
4829,12,2019-07-21,5
4830,14,2019-07-21,6
4831,11,2019-07-21,7
4832,11,2019-07-21,8
4833,4,2019-07-21,9
4834,5,2019-07-21,10
4835,3,2019-07-21,11
4836,4,2019-07-21,12
4837,5,2019-07-21,13
4838,7,2019-07-21,14
4839,6,2019-07-21,15
4840,8,2019-07-21,16
4841,9,2019-07-21,17
4842,6,2019-07-21,18
4843,8,2019-07-21,19
4844,7,2019-07-21,20
4845,10,2019-07-21,21
4846,4,2019-07-21,22
4847,4,2019-07-21,23
4848,4,2019-07-22,0
4849,4,2019-07-22,1
4850,2,2019-07-22,2
4851,1,2019-07-22,3
4852,2,2019-07-22,4
4853,4,2019-07-22,5
4854,8,2019-07-22,6
4855,9,2019-07-22,7
4856,9,2019-07-22,8
4857,11,2019-07-22,9
4858,6,2019-07-22,10
4859,5,2019-07-22,11
4860,5,2019-07-22,12
4861,4,2019-07-22,13
4862,2,2019-07-22,14
4863,3,2019-07-22,15
4864,4,2019-07-22,16
4865,3,2019-07-22,17
4866,5,2019-07-22,18
4867,4,2019-07-22,19
4868,6,2019-07-22,20
4869,5,2019-07-22,21
4870,6,2019-07-22,22
4871,6,2019-07-22,23
4872,2,2019-07-23,0
4873,1,2019-07-23,1
4874,2,2019-07-23,2
4875,1,2019-07-23,3
4876,4,2019-07-23,4
4877,6,2019-07-23,5
4878,7,2019-07-23,6
4879,6,2019-07-23,7
4880,7,2019-07-23,8
4881,4,2019-07-23,9
4882,3,2019-07-23,10
4883,2,2019-07-23,11
4884,3,2019-07-23,12
4885,4,2019-07-23,13
4886,1,2019-07-23,14
4887,3,2019-07-23,15
4888,2,2019-07-23,16
4889,2,2019-07-23,17
4890,3,2019-07-23,18
4891,3,2019-07-23,19
4892,5,2019-07-23,20
4893,7,2019-07-23,21
4894,4,2019-07-23,22
4895,4,2019-07-23,23
4896,3,2019-07-24,0
4897,4,2019-07-24,1
4898,4,2019-07-24,2
4899,3,2019-07-24,3
4900,4,2019-07-24,4
4901,4,2019-07-24,5
4902,3,2019-07-24,6
4903,5,2019-07-24,7
4904,6,2019-07-24,8
4905,5,2019-07-24,9
4906,4,2019-07-24,10
4907,3,2019-07-24,11
4908,3,2019-07-24,12
4909,4,2019-07-24,13
4910,3,2019-07-24,14
4911,2,2019-07-24,15
4912,2,2019-07-24,16
4913,2,2019-07-24,17
4914,4,2019-07-24,18
4915,7,2019-07-24,19
4916,8,2019-07-24,20
4917,8,2019-07-24,21
4918,6,2019-07-24,22
4919,5,2019-07-24,23
4920,3,2019-07-25,0
4921,4,2019-07-25,1
4922,2,2019-07-25,2
4923,6,2019-07-25,3
4924,5,2019-07-25,4
4925,5,2019-07-25,5
4926,4,2019-07-25,6
4927,6,2019-07-25,7
4928,6,2019-07-25,8
4929,8,2019-07-25,9
4930,6,2019-07-25,10
4931,8,2019-07-25,11
4932,8,2019-07-25,12
4933,8,2019-07-25,13
4934,6,2019-07-25,14
4935,5,2019-07-25,15
4936,8,2019-07-25,16
4937,9,2019-07-25,17
4938,7,2019-07-25,18
4939,2,2019-07-25,19
4940,3,2019-07-25,20
4941,3,2019-07-25,21
4942,3,2019-07-25,22
4943,0,2019-07-25,23
4944,2,2019-07-26,0
4945,2,2019-07-26,1
4946,3,2019-07-26,2
4947,4,2019-07-26,3
4948,6,2019-07-26,4
4949,3,2019-07-26,5
4950,5,2019-07-26,6
4951,9,2019-07-26,7
4952,9,2019-07-26,8
4953,7,2019-07-26,9
4954,10,2019-07-26,10
4955,9,2019-07-26,11
4956,14,2019-07-26,12
4957,14,2019-07-26,13
4958,12,2019-07-26,14
4959,6,2019-07-26,15
4960,2,2019-07-26,16
4961,1,2019-07-26,17
4962,3,2019-07-26,18
4963,4,2019-07-26,19
4964,5,2019-07-26,20
4965,3,2019-07-26,21
4966,3,2019-07-26,22
4967,2,2019-07-26,23
4968,1,2019-07-27,0
4969,3,2019-07-27,1
4970,4,2019-07-27,2
4971,4,2019-07-27,3
4972,6,2019-07-27,4
4973,6,2019-07-27,5
4974,4,2019-07-27,6
4975,4,2019-07-27,7
4976,4,2019-07-27,8
4977,6,2019-07-27,9
4978,4,2019-07-27,10
4979,5,2019-07-27,11
4980,4,2019-07-27,12
4981,4,2019-07-27,13
4982,5,2019-07-27,14
4983,2,2019-07-27,15
4984,4,2019-07-27,16
4985,2,2019-07-27,17
4986,1,2019-07-27,18
4987,1,2019-07-27,19
4988,1,2019-07-27,20
4989,1,2019-07-27,21
4990,0,2019-07-27,22
4991,0,2019-07-27,23
4992,3,2019-07-28,0
4993,5,2019-07-28,1
4994,5,2019-07-28,2
4995,8,2019-07-28,3
4996,12,2019-07-28,4
4997,13,2019-07-28,5
4998,13,2019-07-28,6
4999,12,2019-07-28,7
5000,12,2019-07-28,8
5001,9,2019-07-28,9
5002,8,2019-07-28,10
5003,7,2019-07-28,11
5004,6,2019-07-28,12
5005,5,2019-07-28,13
5006,8,2019-07-28,14
5007,10,2019-07-28,15
5008,9,2019-07-28,16
5009,4,2019-07-28,17
5010,3,2019-07-28,18
5011,4,2019-07-28,19
5012,3,2019-07-28,20
5013,3,2019-07-28,21
5014,2,2019-07-28,22
5015,5,2019-07-28,23
5016,9,2019-07-29,0
5017,11,2019-07-29,1
5018,6,2019-07-29,2
5019,4,2019-07-29,3
5020,8,2019-07-29,4
5021,8,2019-07-29,5
5022,10,2019-07-29,6
5023,9,2019-07-29,7
5024,7,2019-07-29,8
5025,8,2019-07-29,9
5026,7,2019-07-29,10
5027,6,2019-07-29,11
5028,5,2019-07-29,12
5029,9,2019-07-29,13
5030,7,2019-07-29,14
5031,6,2019-07-29,15
5032,2,2019-07-29,16
5033,2,2019-07-29,17
5034,4,2019-07-29,18
5035,2,2019-07-29,19
5036,0,2019-07-29,20
5037,4,2019-07-29,21
5038,6,2019-07-29,22
5039,8,2019-07-29,23
5040,2,2019-07-30,0
5041,4,2019-07-30,1
5042,5,2019-07-30,2
5043,7,2019-07-30,3
5044,6,2019-07-30,4
5045,8,2019-07-30,5
5046,7,2019-07-30,6
5047,7,2019-07-30,7
5048,7,2019-07-30,8
5049,6,2019-07-30,9
5050,5,2019-07-30,10
5051,3,2019-07-30,11
5052,3,2019-07-30,12
5053,3,2019-07-30,13
5054,4,2019-07-30,14
5055,4,2019-07-30,15
5056,4,2019-07-30,16
5057,5,2019-07-30,17
5058,7,2019-07-30,18
5059,6,2019-07-30,19
5060,7,2019-07-30,20
5061,6,2019-07-30,21
5062,6,2019-07-30,22
5063,6,2019-07-30,23
5064,4,2019-07-31,0
5065,4,2019-07-31,1
5066,3,2019-07-31,2
5067,3,2019-07-31,3
5068,6,2019-07-31,4
5069,5,2019-07-31,5
5070,5,2019-07-31,6
5071,5,2019-07-31,7
5072,5,2019-07-31,8
5073,10,2019-07-31,9
5074,9,2019-07-31,10
5075,3,2019-07-31,11
5076,1,2019-07-31,12
5077,3,2019-07-31,13
5078,6,2019-07-31,14
5079,8,2019-07-31,15
5080,7,2019-07-31,16
5081,7,2019-07-31,17
5082,5,2019-07-31,18
5083,3,2019-07-31,19
5084,3,2019-07-31,20
5085,2,2019-07-31,21
5086,3,2019-07-31,22
5087,7,2019-07-31,23
5088,7,2019-08-01,0
5089,7,2019-08-01,1
5090,6,2019-08-01,2
5091,8,2019-08-01,3
5092,9,2019-08-01,4
5093,8,2019-08-01,5
5094,7,2019-08-01,6
5095,5,2019-08-01,7
5096,3,2019-08-01,8
5097,3,2019-08-01,9
5098,5,2019-08-01,10
5099,7,2019-08-01,11
5100,4,2019-08-01,12
5101,7,2019-08-01,13
5102,6,2019-08-01,14
5103,5,2019-08-01,15
5104,8,2019-08-01,16
5105,10,2019-08-01,17
5106,6,2019-08-01,18
5107,8,2019-08-01,19
5108,4,2019-08-01,20
5109,4,2019-08-01,21
5110,4,2019-08-01,22
5111,3,2019-08-01,23
5112,1,2019-08-02,0
5113,1,2019-08-02,1
5114,5,2019-08-02,2
5115,8,2019-08-02,3
5116,10,2019-08-02,4
5117,10,2019-08-02,5
5118,6,2019-08-02,6
5119,7,2019-08-02,7
5120,6,2019-08-02,8
5121,4,2019-08-02,9
5122,5,2019-08-02,10
5123,5,2019-08-02,11
5124,5,2019-08-02,12
5125,3,2019-08-02,13
5126,4,2019-08-02,14
5127,7,2019-08-02,15
5128,6,2019-08-02,16
5129,6,2019-08-02,17
5130,4,2019-08-02,18
5131,7,2019-08-02,19
5132,7,2019-08-02,20
5133,7,2019-08-02,21
5134,10,2019-08-02,22
5135,10,2019-08-02,23
5136,12,2019-08-03,0
5137,9,2019-08-03,1
5138,7,2019-08-03,2
5139,6,2019-08-03,3
5140,8,2019-08-03,4
5141,8,2019-08-03,5
5142,7,2019-08-03,6
5143,4,2019-08-03,7
5144,1,2019-08-03,8
5145,1,2019-08-03,9
5146,6,2019-08-03,10
5147,7,2019-08-03,11
5148,7,2019-08-03,12
5149,7,2019-08-03,13
5150,5,2019-08-03,14
5151,6,2019-08-03,15
5152,6,2019-08-03,16
5153,6,2019-08-03,17
5154,3,2019-08-03,18
5155,3,2019-08-03,19
5156,6,2019-08-03,20
5157,6,2019-08-03,21
5158,7,2019-08-03,22
5159,7,2019-08-03,23
5160,4,2019-08-04,0
5161,6,2019-08-04,1
5162,3,2019-08-04,2
5163,5,2019-08-04,3
5164,9,2019-08-04,4
5165,8,2019-08-04,5
5166,6,2019-08-04,6
5167,7,2019-08-04,7
5168,8,2019-08-04,8
5169,8,2019-08-04,9
5170,8,2019-08-04,10
5171,6,2019-08-04,11
5172,5,2019-08-04,12
5173,3,2019-08-04,13
5174,2,2019-08-04,14
5175,4,2019-08-04,15
5176,5,2019-08-04,16
5177,6,2019-08-04,17
5178,6,2019-08-04,18
5179,3,2019-08-04,19
5180,5,2019-08-04,20
5181,5,2019-08-04,21
5182,5,2019-08-04,22
5183,4,2019-08-04,23
5184,2,2019-08-05,0
5185,5,2019-08-05,1
5186,3,2019-08-05,2
5187,5,2019-08-05,3
5188,6,2019-08-05,4
5189,6,2019-08-05,5
5190,6,2019-08-05,6
5191,4,2019-08-05,7
5192,2,2019-08-05,8
5193,5,2019-08-05,9
5194,3,2019-08-05,10
5195,8,2019-08-05,11
5196,8,2019-08-05,12
5197,7,2019-08-05,13
5198,6,2019-08-05,14
5199,5,2019-08-05,15
5200,4,2019-08-05,16
5201,2,2019-08-05,17
5202,2,2019-08-05,18
5203,7,2019-08-05,19
5204,7,2019-08-05,20
5205,6,2019-08-05,21
5206,1,2019-08-05,22
5207,2,2019-08-05,23
5208,2,2019-08-06,0
5209,1,2019-08-06,1
5210,3,2019-08-06,2
5211,4,2019-08-06,3
5212,4,2019-08-06,4
5213,2,2019-08-06,5
5214,3,2019-08-06,6
5215,5,2019-08-06,7
5216,5,2019-08-06,8
5217,2,2019-08-06,9
5218,2,2019-08-06,10
5219,2,2019-08-06,11
5220,0,2019-08-06,12
5221,4,2019-08-06,13
5222,3,2019-08-06,14
5223,4,2019-08-06,15
5224,1,2019-08-06,16
5225,1,2019-08-06,17
5226,2,2019-08-06,18
5227,2,2019-08-06,19
5228,2,2019-08-06,20
5229,0,2019-08-06,21
5230,0,2019-08-06,22
5231,0,2019-08-06,23
5232,6,2019-08-07,0
5233,4,2019-08-07,1
5234,5,2019-08-07,2
5235,4,2019-08-07,3
5236,8,2019-08-07,4
5237,6,2019-08-07,5
5238,8,2019-08-07,6
5239,10,2019-08-07,7
5240,11,2019-08-07,8
5241,10,2019-08-07,9
5242,9,2019-08-07,10
5243,6,2019-08-07,11
5244,8,2019-08-07,12
5245,4,2019-08-07,13
5246,2,2019-08-07,14
5247,5,2019-08-07,15
5248,7,2019-08-07,16
5249,9,2019-08-07,17
5250,9,2019-08-07,18
5251,6,2019-08-07,19
5252,7,2019-08-07,20
5253,9,2019-08-07,21
5254,6,2019-08-07,22
5255,6,2019-08-07,23
5256,1,2019-08-08,0
5257,5,2019-08-08,1
5258,4,2019-08-08,2
5259,10,2019-08-08,3
5260,8,2019-08-08,4
5261,10,2019-08-08,5
5262,6,2019-08-08,6
5263,5,2019-08-08,7
5264,7,2019-08-08,8
5265,6,2019-08-08,9
5266,6,2019-08-08,10
5267,5,2019-08-08,11
5268,6,2019-08-08,12
5269,7,2019-08-08,13
5270,5,2019-08-08,14
5271,7,2019-08-08,15
5272,7,2019-08-08,16
5273,8,2019-08-08,17
5274,8,2019-08-08,18
5275,4,2019-08-08,19
5276,8,2019-08-08,20
5277,10,2019-08-08,21
5278,9,2019-08-08,22
5279,8,2019-08-08,23
5280,4,2019-08-09,0
5281,1,2019-08-09,1
5282,2,2019-08-09,2
5283,3,2019-08-09,3
5284,3,2019-08-09,4
5285,10,2019-08-09,5
5286,8,2019-08-09,6
5287,9,2019-08-09,7
5288,9,2019-08-09,8
5289,9,2019-08-09,9
5290,9,2019-08-09,10
5291,8,2019-08-09,11
5292,10,2019-08-09,12
5293,11,2019-08-09,13
5294,8,2019-08-09,14
5295,12,2019-08-09,15
5296,13,2019-08-09,16
5297,11,2019-08-09,17
5298,11,2019-08-09,18
5299,9,2019-08-09,19
5300,6,2019-08-09,20
5301,8,2019-08-09,21
5302,10,2019-08-09,22
5303,10,2019-08-09,23
5304,6,2019-08-10,0
5305,9,2019-08-10,1
5306,9,2019-08-10,2
5307,10,2019-08-10,3
5308,8,2019-08-10,4
5309,6,2019-08-10,5
5310,7,2019-08-10,6
5311,4,2019-08-10,7
5312,6,2019-08-10,8
5313,4,2019-08-10,9
5314,9,2019-08-10,10
5315,10,2019-08-10,11
5316,10,2019-08-10,12
5317,13,2019-08-10,13
5318,8,2019-08-10,14
5319,10,2019-08-10,15
5320,13,2019-08-10,16
5321,8,2019-08-10,17
5322,10,2019-08-10,18
5323,10,2019-08-10,19
5324,12,2019-08-10,20
5325,11,2019-08-10,21
5326,8,2019-08-10,22
5327,5,2019-08-10,23
5328,3,2019-08-11,0
5329,6,2019-08-11,1
5330,7,2019-08-11,2
5331,6,2019-08-11,3
5332,5,2019-08-11,4
5333,6,2019-08-11,5
5334,6,2019-08-11,6
5335,6,2019-08-11,7
5336,5,2019-08-11,8
5337,3,2019-08-11,9
5338,4,2019-08-11,10
5339,6,2019-08-11,11
5340,9,2019-08-11,12
5341,9,2019-08-11,13
5342,9,2019-08-11,14
5343,11,2019-08-11,15
5344,10,2019-08-11,16
5345,9,2019-08-11,17
5346,9,2019-08-11,18
5347,6,2019-08-11,19
5348,9,2019-08-11,20
5349,7,2019-08-11,21
5350,12,2019-08-11,22
5351,9,2019-08-11,23
5352,7,2019-08-12,0
5353,6,2019-08-12,1
5354,7,2019-08-12,2
5355,6,2019-08-12,3
5356,5,2019-08-12,4
5357,8,2019-08-12,5
5358,8,2019-08-12,6
5359,11,2019-08-12,7
5360,8,2019-08-12,8
5361,7,2019-08-12,9
5362,9,2019-08-12,10
5363,7,2019-08-12,11
5364,8,2019-08-12,12
5365,7,2019-08-12,13
5366,7,2019-08-12,14
5367,6,2019-08-12,15
5368,6,2019-08-12,16
5369,5,2019-08-12,17
5370,8,2019-08-12,18
5371,7,2019-08-12,19
5372,6,2019-08-12,20
5373,6,2019-08-12,21
5374,7,2019-08-12,22
5375,5,2019-08-12,23
5376,3,2019-08-13,0
5377,4,2019-08-13,1
5378,6,2019-08-13,2
5379,5,2019-08-13,3
5380,5,2019-08-13,4
5381,4,2019-08-13,5
5382,5,2019-08-13,6
5383,5,2019-08-13,7
5384,7,2019-08-13,8
5385,8,2019-08-13,9
5386,9,2019-08-13,10
5387,5,2019-08-13,11
5388,4,2019-08-13,12
5389,2,2019-08-13,13
5390,2,2019-08-13,14
5391,4,2019-08-13,15
5392,4,2019-08-13,16
5393,6,2019-08-13,17
5394,8,2019-08-13,18
5395,8,2019-08-13,19
5396,4,2019-08-13,20
5397,7,2019-08-13,21
5398,5,2019-08-13,22
5399,5,2019-08-13,23
5400,2,2019-08-14,0
5401,5,2019-08-14,1
5402,4,2019-08-14,2
